id;total_like;total_dislike
acf0aece-3b07-43fd-8f48-88c75f06fcf8;11487;16479
cad200e5-ae96-4e72-862d-53af67616498;14117;23273
b3ad3a99-0a31-4603-8470-991065a7e1cb;21458;23011
a5bc9617-0552-481a-9523-c49c3a390cd0;27397;1389
3b6351a5-a4a8-4b9f-917a-56b89e222d6d;21050;10742
300d10cf-a76d-4f26-846d-0cc13b5e61c1;28215;27920
4cdc6c82-cb52-4e32-ae56-0ab60612edd0;9667;13925
7f91b684-2b23-4918-a4b9-c486a4532968;13141;3818
cceada6c-e249-4783-b8bf-8d1d66caa673;4071;12581
cb7f7cc5-211d-4f5a-a276-cfb33af58a0f;8396;18767
