id;name;description;max_participants;is_public;created_at;updated_at
db9efe8e-2052-4b1d-953a-9af129903f79;yearly round;chairperson;18975;false;2025-11-22T17:17:28;2025-11-23T06:43:59
afac16c8-e975-40e5-a931-210850e51b22;hm frenetically acceptable;now or;9959;true;2025-11-22T21:26:16;2025-11-22T22:28:34
db394551-f837-4b6b-b06e-477204f9ca31;reschedule;likewise;11610;false;2025-11-22T23:06:08;2025-11-22T22:41:37
c1da1e3f-cbfb-41f6-b529-5a4ebc85e946;radiant ecliptic gown;which ambitious;18821;true;2025-11-22T18:11:59;2025-11-23T16:33:00
30320953-1f8f-4151-91ac-99cd47d87dc9;on devastation;lowball;25534;false;2025-11-23T03:21:09;2025-11-22T22:27:29
fbb2ddd1-df9f-4295-a655-0570007988d4;detective gee;boo;24909;true;2025-11-23T13:14:58;2025-11-22T23:06:23
4fdc7c51-6514-47ca-9f10-93005177278e;ack metabolise;after finally snuggle;23823;true;2025-11-23T00:08:21;2025-11-22T17:19:37
ac89e7a4-7965-4f3b-a70f-f429ca42eaa5;gosh vaguely;agreeable;24307;false;2025-11-22T23:51:40;2025-11-23T07:45:48
53487892-6856-4f56-8a68-0d1cfe2692cb;why;print charming overheard;2472;true;2025-11-22T23:31:18;2025-11-23T07:33:18
656efdbe-df66-45c1-a76b-626f21ccf776;who dulcimer onto;below nor probable;4997;false;2025-11-23T03:41:10;2025-11-23T09:54:06
