id;token;created_at;expires_at;max_uses;used_count;is_active
1;modulo flimsy since;2025-11-21T22:33:49;2025-11-22T04:38:49;6667;20955;true
2;handsome phew by;2025-11-22T03:02:29;2025-11-22T10:32:10;6528;27927;true
3;mechanically;2025-11-22T01:32:50;2025-11-21T17:31:05;3847;23434;true
4;transom;2025-11-22T04:37:41;2025-11-22T16:13:04;31133;30748;false
5;although;2025-11-22T01:46:20;2025-11-22T10:05:13;6697;31504;false
6;upon far;2025-11-22T16:18:59;2025-11-22T01:06:18;264;22338;false
7;instead warmly;2025-11-22T14:22:54;2025-11-21T22:14:27;29931;6663;true
8;behind onto versus;2025-11-21T18:29:19;2025-11-21T23:52:22;31793;29762;false
9;incidentally now;2025-11-22T12:37:42;2025-11-22T01:14:51;9598;26756;false
10;portray hygienic;2025-11-21T20:18:28;2025-11-22T12:46:56;8668;16431;false
