id;joined_at;last_active_at;role
0b5d3918-ac4b-4e64-864f-3518e24807af;2025-11-23T11:06:52;2025-11-23T04:55:17;PARTICIPANT
084843ba-1ebf-4dd9-849f-a12fb3fe3d07;2025-11-23T07:11:56;2025-11-22T20:41:35;OWNER
61c974e1-14d8-44e5-bb0d-1dee51b194d2;2025-11-22T17:42:59;2025-11-23T10:07:27;DJ
8d052672-5ea6-4bc9-b8ba-be45f9f53d70;2025-11-23T09:38:24;2025-11-23T16:17:09;DJ
a8387fc3-20e1-479d-9531-6a74703517fe;2025-11-23T03:37:32;2025-11-22T23:46:04;PARTICIPANT
4226b9a5-7d08-48df-b4e2-c459c1272247;2025-11-23T04:38:02;2025-11-23T09:10:40;DJ
c3dc6bae-94a6-4058-a9cd-1c26c4912dc5;2025-11-23T16:22:27;2025-11-23T15:23:21;DJ
ef8e42e4-40e7-4d42-97ff-f077388f8211;2025-11-23T16:11:34;2025-11-22T22:30:02;DJ
a4643e92-8623-4086-afe9-df7d85ea1b63;2025-11-23T10:47:31;2025-11-22T21:03:00;OWNER
a11fc523-407c-465e-9e88-cea932808978;2025-11-23T01:47:09;2025-11-23T04:30:29;OWNER
