id;vote_type;playlist_item_id;created_at
f42f3e52-dfb6-4bd2-a5c4-c5e8f0a4ff29;KICKUSER;off;2025-11-23T15:24:48
9f9a46b8-22c2-42b9-82eb-eb53e12bac1a;KICKUSER;gah;2025-11-23T06:47:36
63307746-14ba-402b-abc6-d0ed82a7f679;SKIPTRACK;form rosin against;2025-11-23T14:32:40
f3c8859a-d4d7-4390-8469-4ee269517758;KICKUSER;elementary;2025-11-23T15:23:09
cc2b7ef9-1e6f-4419-9bd2-343ad695c03b;KICKUSER;difficult before;2025-11-23T11:54:08
bed0b3dc-f8d8-45bc-9100-bd39e09499aa;SKIPTRACK;outfit fooey jovially;2025-11-23T10:48:09
a631a9c7-d52c-4a2d-8f5f-e5c4acef75e6;KICKUSER;readies officially woot;2025-11-23T11:02:47
dda589b2-6689-4692-85e0-a7c696e7a12d;SKIPTRACK;mutate;2025-11-23T11:52:45
3558ab8d-eb49-4604-bc50-1717324862e3;KICKUSER;only longingly sport;2025-11-22T18:50:00
98490e4e-0964-41ce-8f87-adea3f61042c;KICKUSER;subtract how shark;2025-11-23T10:22:58
